venue,role,side,qty,price,mid,fee_bps,fee,spread_capture,symbol
VENUE_A,maker,BUY,40,64.65,65.33,-0.05,-0.01293,27.199999999999704,
VENUE_A,maker,SELL,40,66.0,65.33,-0.05,-0.013200000000000002,26.800000000000068,
VENUE_A,maker,BUY,40,64.65,65.33,-0.05,-0.01293,27.199999999999704,
VENUE_A,maker,BUY,40,61.75,44.02,-0.05,-0.012350000000000002,-709.1999999999998,
VENUE_A,maker,SELL,20,63.15,44.02,-0.05,-0.006315,382.5999999999999,
VENUE_A,maker,BUY,20,43.35,44.03,-0.05,-0.004335,13.599999999999994,
VENUE_A,maker,BUY,40,43.35,34.79,-0.05,-0.00867,-342.4000000000001,
VENUE_A,maker,SELL,20,44.7,34.79,-0.05,-0.00447,198.20000000000007,
VENUE_A,maker,BUY,20,34.1,34.8,-0.05,-0.0034100000000000003,13.999999999999915,
VENUE_A,maker,SELL,20,35.5,34.8,-0.05,-0.00355,14.000000000000057,
VENUE_A,maker,SELL,20,35.5,39.41,-0.05,-0.00355,-78.19999999999993,
VENUE_A,maker,BUY,20,34.1,34.8,-0.05,-0.0034100000000000003,13.999999999999915,
VENUE_A,maker,BUY,40,34.1,34.8,-0.05,-0.0068200000000000005,27.99999999999983,
VENUE_A,maker,SELL,40,35.5,34.8,-0.05,-0.0071,28.000000000000114,
VENUE_A,maker,SELL,20,35.5,39.41,-0.05,-0.00355,-78.19999999999993,
VENUE_A,maker,SELL,20,35.5,39.41,-0.05,-0.00355,-78.19999999999993,
VENUE_A,maker,BUY,20,38.7,39.4,-0.05,-0.00387,13.999999999999915,
VENUE_A,maker,SELL,40,40.1,39.41,-0.05,-0.008020000000000001,27.600000000000193,
VENUE_A,maker,BUY,40,38.7,37.11,-0.05,-0.00774,-63.600000000000136,
VENUE_A,maker,SELL,40,40.1,41.72,-0.05,-0.008020000000000001,-64.7999999999999,
VENUE_A,maker,SELL,40,42.4,70.55,-0.05,-0.008480000000000001,-1126.0,
VENUE_A,maker,SELL,40,71.25,84.95,-0.05,-0.01425,-548.0000000000001,
VENUE_A,maker,BUY,40,69.85,67.06,-0.05,-0.013970000000000002,-111.59999999999968,
VENUE_A,maker,BUY,40,66.35,50.91,-0.05,-0.01327,-617.5999999999999,
VENUE_A,maker,SELL,40,67.75,67.06,-0.05,-0.013550000000000001,27.59999999999991,
VENUE_A,maker,SELL,20,67.75,67.05,-0.05,-0.006775000000000001,14.000000000000057,
VENUE_A,maker,SELL,20,67.75,83.2,-0.05,-0.006775000000000001,-309.00000000000006,
VENUE_A,maker,BUY,20,82.5,91.28,-0.05,-0.00825,175.60000000000002,
VENUE_A,maker,SELL,40,83.9,91.28,-0.05,-0.01678,-295.1999999999998,
VENUE_A,maker,BUY,20,82.5,67.06,-0.05,-0.00825,-308.79999999999995,
VENUE_A,maker,SELL,40,67.75,83.2,-0.05,-0.013550000000000001,-618.0000000000001,
VENUE_A,maker,BUY,20,66.35,83.2,-0.05,-0.006635,337.00000000000017,
VENUE_A,maker,BUY,20,82.5,83.2,-0.05,-0.00825,14.000000000000057,
VENUE_A,maker,SELL,20,83.9,83.2,-0.05,-0.00839,14.000000000000057,
VENUE_A,maker,SELL,20,83.9,91.28,-0.05,-0.00839,-147.5999999999999,
VENUE_A,maker,SELL,20,92.0,91.3,-0.05,-0.009200000000000002,14.000000000000057,
VENUE_A,maker,SELL,40,92.0,95.32,-0.05,-0.018400000000000003,-132.79999999999973,
VENUE_A,maker,BUY,40,94.65,93.29,-0.05,-0.018930000000000002,-54.39999999999998,
VENUE_A,maker,SELL,20,94.0,96.32,-0.05,-0.0094,-46.399999999999864,
VENUE_A,maker,SELL,20,94.0,96.32,-0.05,-0.0094,-46.399999999999864,
VENUE_A,maker,BUY,40,95.65,94.8,-0.05,-0.01913,-34.00000000000034,
VENUE_A,maker,SELL,40,97.0,96.32,-0.05,-0.0194,27.200000000000273,
VENUE_A,maker,BUY,40,94.6,91.27,-0.05,-0.018920000000000003,-133.19999999999993,
VENUE_A,maker,SELL,40,96.0,91.27,-0.05,-0.019200000000000002,189.20000000000016,
VENUE_A,maker,SELL,20,91.95,91.28,-0.05,-0.009195,13.400000000000034,
VENUE_A,maker,SELL,20,91.95,87.22,-0.05,-0.009195,94.60000000000008,
